n,m,fidelity_avg
1,1,0.7405
2,1,0.737
3,1,0.75
4,1,0.751
5,1,0.7565
6,1,0.742
7,1,0.7435
8,1,0.7435
9,1,0.7455
10,1,0.756
11,1,0.7585
12,1,0.75
13,1,0.7505
14,1,0.7515
15,1,0.748
16,1,0.7515
17,1,0.7535
18,1,0.7525
19,1,0.754
20,1,0.7525
21,1,0.7525
22,1,0.7405
23,1,0.743
24,1,0.7445
25,1,0.7475
26,1,0.7515
27,1,0.756
28,1,0.7605
29,1,0.7515
30,1,0.7525
31,1,0.7535
32,1,0.747
33,1,0.7495
34,1,0.7565
35,1,0.7555
36,1,0.7465
37,1,0.744
38,1,0.74
39,1,0.7445
40,1,0.7425
41,1,0.751
42,1,0.7545
43,1,0.7515
44,1,0.7515
45,1,0.7555
46,1,0.751
47,1,0.753
48,1,0.7525
49,1,0.756
50,1,0.7585
51,1,0.759
52,1,0.762
53,1,0.766
54,1,0.7635
55,1,0.764
56,1,0.762
57,1,0.759
58,1,0.76
59,1,0.7685
60,1,0.763
61,1,0.763
62,1,0.7635
63,1,0.7585
64,1,0.761
65,1,0.7575
66,1,0.7585
67,1,0.7555
68,1,0.758
69,1,0.7595
70,1,0.7565
71,1,0.757
72,1,0.7575
73,1,0.7545
74,1,0.753
75,1,0.756
76,1,0.752
77,1,0.7525
78,1,0.7495
79,1,0.753
80,1,0.7515
81,1,0.7505
82,1,0.756
83,1,0.7595
84,1,0.765
85,1,0.763
86,1,0.76
87,1,0.764
88,1,0.76
89,1,0.7615
90,1,0.761
91,1,0.7615
92,1,0.7625
93,1,0.764
94,1,0.7615
95,1,0.7585
96,1,0.759
97,1,0.754
98,1,0.756
99,1,0.762
100,1,0.7635
101,1,0.764
102,1,0.7615
103,1,0.7595
104,1,0.758
105,1,0.7605
106,1,0.7535
107,1,0.7545
108,1,0.7535
109,1,0.7545
110,1,0.756
111,1,0.7565
112,1,0.762
113,1,0.7585
114,1,0.7605
115,1,0.7615
116,1,0.752
117,1,0.7525
118,1,0.7535
119,1,0.758
120,1,0.7545
121,1,0.7625
122,1,0.7615
123,1,0.763
124,1,0.7655
125,1,0.761
126,1,0.7595
127,1,0.758
128,1,0.759
129,1,0.7595
130,1,0.7565
131,1,0.757
132,1,0.758
133,1,0.76
134,1,0.759
135,1,0.756
136,1,0.7595
137,1,0.759
138,1,0.7535
139,1,0.759
140,1,0.757
141,1,0.7575
142,1,0.755
143,1,0.7535
144,1,0.754
145,1,0.755
146,1,0.752
147,1,0.7525
148,1,0.7505
149,1,0.7515
150,1,0.757
151,1,0.755
152,1,0.7535
153,1,0.7515
154,1,0.7505
155,1,0.749
156,1,0.7495
157,1,0.749
158,1,0.747
159,1,0.746
160,1,0.75
161,1,0.751
162,1,0.7505
163,1,0.75
164,1,0.7545
165,1,0.753
166,1,0.7535
167,1,0.7535
168,1,0.7545
169,1,0.7535
170,1,0.75
171,1,0.756
172,1,0.756
173,1,0.752
174,1,0.7505
175,1,0.751
176,1,0.75
177,1,0.75
178,1,0.755
179,1,0.7535
180,1,0.7515
181,1,0.7505
182,1,0.7555
183,1,0.755
184,1,0.7535
185,1,0.7555
186,1,0.7595
187,1,0.7635
188,1,0.7625
189,1,0.766
190,1,0.766
191,1,0.767
192,1,0.765
193,1,0.7635
194,1,0.764
195,1,0.7645
196,1,0.7625
197,1,0.762
198,1,0.763
199,1,0.758
200,1,0.7605
201,1,0.756
202,1,0.757
203,1,0.76
204,1,0.7525
205,1,0.7545
206,1,0.759
207,1,0.7575
208,1,0.758
209,1,0.7545
210,1,0.754
211,1,0.754
212,1,0.7525
213,1,0.748
214,1,0.749
215,1,0.745
216,1,0.7485
217,1,0.752
218,1,0.7525
219,1,0.7555
220,1,0.7575
221,1,0.755
222,1,0.756
223,1,0.7565
224,1,0.7545
225,1,0.7555
226,1,0.7555
227,1,0.757
228,1,0.7565
229,1,0.7595
230,1,0.76
231,1,0.7555
232,1,0.755
233,1,0.7565
234,1,0.7545
235,1,0.7545
236,1,0.7545
237,1,0.752
238,1,0.7535
239,1,0.7535
240,1,0.7595
241,1,0.756
242,1,0.7565
243,1,0.7565
244,1,0.7595
245,1,0.7605
246,1,0.7625
247,1,0.759
248,1,0.756
249,1,0.7555
250,1,0.76
251,1,0.7635
252,1,0.7635
253,1,0.7665
254,1,0.763
255,1,0.7635
256,1,0.7605
257,1,0.763
258,1,0.759
259,1,0.76
260,1,0.759
261,1,0.7565
262,1,0.759
263,1,0.759
264,1,0.762
265,1,0.76
266,1,0.7635
267,1,0.759
268,1,0.761
269,1,0.758
270,1,0.7615
271,1,0.764
272,1,0.7645
273,1,0.7665
274,1,0.766
275,1,0.766
276,1,0.7705
277,1,0.773
278,1,0.773
279,1,0.774
280,1,0.7725
281,1,0.772
282,1,0.7695
283,1,0.7705
284,1,0.7685
285,1,0.7705
286,1,0.7695
287,1,0.7665
288,1,0.7635
289,1,0.7645
290,1,0.764
291,1,0.764
292,1,0.7655
293,1,0.762
294,1,0.7595
295,1,0.764
296,1,0.76
297,1,0.7595
298,1,0.7625
299,1,0.766
300,1,0.764
301,1,0.771
302,1,0.7705
303,1,0.768
304,1,0.77
305,1,0.772
306,1,0.77
307,1,0.7695
308,1,0.767
309,1,0.772
310,1,0.7695
311,1,0.7675
312,1,0.768
313,1,0.768
314,1,0.7675
315,1,0.768
316,1,0.7645
317,1,0.7705
318,1,0.771
319,1,0.773
320,1,0.7755
321,1,0.772
322,1,0.769
323,1,0.767
324,1,0.769
325,1,0.768
326,1,0.772
327,1,0.7695
328,1,0.7655
329,1,0.7675
330,1,0.7695
331,1,0.766
332,1,0.7645
333,1,0.7675
334,1,0.7715
335,1,0.771
336,1,0.7675
337,1,0.768
338,1,0.767
339,1,0.766
340,1,0.771
341,1,0.7705
342,1,0.7695
343,1,0.771
344,1,0.773
345,1,0.7705
346,1,0.764
347,1,0.7635
348,1,0.7655
349,1,0.763
350,1,0.7615
351,1,0.7625
352,1,0.765
353,1,0.764
354,1,0.7655
355,1,0.7655
356,1,0.763
357,1,0.7645
358,1,0.7625
359,1,0.7635
360,1,0.765
361,1,0.765
362,1,0.767
363,1,0.766
364,1,0.765
365,1,0.763
366,1,0.7655
367,1,0.762
368,1,0.7645
369,1,0.7635
370,1,0.765
371,1,0.759
372,1,0.7575
373,1,0.7605
374,1,0.7605
375,1,0.764
376,1,0.7615
377,1,0.7645
378,1,0.7615
379,1,0.7635
380,1,0.764
381,1,0.7625
382,1,0.7635
383,1,0.76
384,1,0.7605
385,1,0.761
386,1,0.7615
387,1,0.76
388,1,0.757
389,1,0.7545
390,1,0.7555
391,1,0.755
392,1,0.7595
393,1,0.758
394,1,0.761
395,1,0.762
396,1,0.762
397,1,0.7595
398,1,0.76
399,1,0.76
400,1,0.7575
401,1,0.7565
402,1,0.757
403,1,0.756
404,1,0.7575
405,1,0.756
406,1,0.757
407,1,0.755
408,1,0.7555
409,1,0.7625
410,1,0.7605
411,1,0.7565
412,1,0.7585
413,1,0.762
414,1,0.7585
415,1,0.7595
416,1,0.7595
417,1,0.7565
418,1,0.7595
419,1,0.76
420,1,0.7575
421,1,0.76
422,1,0.7595
423,1,0.759
424,1,0.7595
425,1,0.7595
426,1,0.761
427,1,0.7565
428,1,0.752
429,1,0.756
430,1,0.7555
431,1,0.7555
432,1,0.752
433,1,0.7525
434,1,0.7545
435,1,0.7555
436,1,0.7595
437,1,0.7595
438,1,0.7565
439,1,0.76
440,1,0.7645
441,1,0.7635
442,1,0.766
443,1,0.761
444,1,0.763
445,1,0.76
446,1,0.7605
447,1,0.7645
448,1,0.7625
449,1,0.7605
450,1,0.762
451,1,0.763
452,1,0.761
453,1,0.7605
454,1,0.762
455,1,0.7635
456,1,0.7625
457,1,0.7615
458,1,0.7625
459,1,0.7625
460,1,0.763
461,1,0.7615
462,1,0.7635
463,1,0.764
464,1,0.764
465,1,0.764
466,1,0.7605
467,1,0.7595
468,1,0.7615
469,1,0.762
470,1,0.7615
471,1,0.7635
472,1,0.7575
473,1,0.7575
474,1,0.7595
475,1,0.7585
476,1,0.7585
477,1,0.7575
478,1,0.759
479,1,0.758
480,1,0.757
481,1,0.7555
482,1,0.757
483,1,0.757
484,1,0.7595
485,1,0.7595
486,1,0.761
487,1,0.761
488,1,0.761
489,1,0.758
490,1,0.7595
491,1,0.7615
492,1,0.7575
493,1,0.756
494,1,0.7565
495,1,0.756
496,1,0.758
497,1,0.759
498,1,0.758
499,1,0.7535
500,1,0.7525
501,1,0.754
502,1,0.752
503,1,0.752
504,1,0.7515
505,1,0.751
506,1,0.753
507,1,0.754
508,1,0.7545
509,1,0.7545
510,1,0.756
511,1,0.7565
512,1,0.7575
513,1,0.762
514,1,0.7575
515,1,0.759
516,1,0.759
517,1,0.7575
518,1,0.7545
519,1,0.756
520,1,0.755
521,1,0.7535
522,1,0.756
523,1,0.761
524,1,0.757
525,1,0.76
526,1,0.7555
527,1,0.758
528,1,0.756
529,1,0.7505
530,1,0.7485
531,1,0.753
532,1,0.7545
533,1,0.7535
534,1,0.7545
535,1,0.7505
536,1,0.754
537,1,0.7525
538,1,0.757
539,1,0.7565
540,1,0.757
541,1,0.7535
542,1,0.752
543,1,0.751
544,1,0.753
545,1,0.752
546,1,0.7535
547,1,0.7535
548,1,0.756
549,1,0.7595
550,1,0.757
551,1,0.758
552,1,0.7575
553,1,0.757
554,1,0.7565
555,1,0.7555
556,1,0.7555
557,1,0.757
558,1,0.756
559,1,0.756
560,1,0.758
561,1,0.7575
562,1,0.758
563,1,0.7615
564,1,0.76
565,1,0.759
566,1,0.7625
567,1,0.7615
568,1,0.759
569,1,0.7575
570,1,0.7575
571,1,0.758
572,1,0.757
573,1,0.759
574,1,0.7585
575,1,0.757
576,1,0.759
577,1,0.76
578,1,0.7625
579,1,0.763
580,1,0.762
581,1,0.7585
582,1,0.7625
583,1,0.761
584,1,0.762
585,1,0.7635
586,1,0.762
587,1,0.7595
588,1,0.758
589,1,0.7605
590,1,0.757
591,1,0.7525
592,1,0.7555
593,1,0.754
594,1,0.751
595,1,0.752
596,1,0.752
597,1,0.7525
598,1,0.755
599,1,0.7595
600,1,0.7595
601,1,0.761
602,1,0.7625
603,1,0.765
604,1,0.762
605,1,0.761
606,1,0.762
607,1,0.7595
608,1,0.762
609,1,0.761
610,1,0.762
611,1,0.7605
612,1,0.764
613,1,0.7665
614,1,0.766
615,1,0.769
616,1,0.766
617,1,0.763
618,1,0.7635
619,1,0.7675
620,1,0.769
621,1,0.769
622,1,0.767
623,1,0.7665
624,1,0.766
625,1,0.768
626,1,0.768
627,1,0.7675
628,1,0.767
629,1,0.762
630,1,0.764
631,1,0.765
632,1,0.7655
633,1,0.7685
634,1,0.7675
635,1,0.7645
636,1,0.769
637,1,0.766
638,1,0.7605
639,1,0.762
640,1,0.762
641,1,0.7635
642,1,0.7625
643,1,0.766
644,1,0.764
645,1,0.763
646,1,0.768
647,1,0.767
648,1,0.7665
